timestamp,grid_size,box_size,torus,r_scale,phase_density_factor,phase_velocity_factor,env_shell_frac,env_width_frac,env_pos_weight,env_neg_weight
2025-09-20T19.14.33,48,4.0,120deg,0.6,0.8,0.6,2.4,1.4,0.98,0.02
r_center,mu_shell,mu_cumulative,m_fft_equatorial
0.026499475246016025,0.0,0.0,0
0.07949842573804808,0.0,0.0,0
0.13249737623008012,0.0,0.0,0
0.1854963267221122,0.0,0.0,0
0.2384952772141442,0.0530854782992573,0.0530854782992573,0
0.2914942277061763,0.08801664678814125,0.14110212508739856,0
0.34449317819820835,0.2129197702007145,0.35402189528811306,0
0.39749212869024036,0.2448953342742729,0.5989172295623859,0
0.45049107918227244,0.30843196211808954,0.9073491916804755,12
0.5034900296743045,0.20336440864148786,1.1107136003219633,0
0.5564889801663365,0.23965163421255187,1.3503652345345152,8
0.6094879306583686,0.14732030204327365,1.4976855365777888,0
0.6624868811504007,0.0983811508734658,1.5960666874512546,4
0.7154858316424326,0.06220939514560163,1.658276082596856,16
0.7684847821344647,0.013824452237869241,1.6721005348347253,4
0.8214837326264968,4.7132601159302665e-05,1.6721476674358846,4
0.8744826831185288,0.0,1.6721476674358846,12
0.9274816336105609,0.0,1.6721476674358846,16
0.980480584102593,0.0,1.6721476674358846,12
1.0334795345946248,0.0,1.6721476674358846,4
1.0864784850866571,0.0,1.6721476674358846,8
1.139477435578689,0.0,1.6721476674358846,8
1.1924763860707213,0.0,1.6721476674358846,4
1.245475336562753,0.0,1.6721476674358846,8
1.2984742870547854,0.0,1.6721476674358846,28
1.3514732375468173,0.0,1.6721476674358846,24
1.4044721880388493,0.0,1.6721476674358846,4
1.4574711385308814,0.0,1.6721476674358846,8
1.5104700890229132,0.0,1.6721476674358846,4
1.5634690395149455,0.0,1.6721476674358846,8
1.6164679900069774,0.0,1.6721476674358846,4
1.6694669404990097,0.0,1.6721476674358846,8
1.7224658909910415,0.0,1.6721476674358846,16
1.7754648414830738,0.0,1.6721476674358846,20
1.8284637919751057,0.0,1.6721476674358846,4
1.881462742467138,0.0,1.6721476674358846,36
1.9344616929591698,0.0,1.6721476674358846,16
1.9874606434512019,0.0,1.6721476674358846,4
2.040459593943234,0.0,1.6721476674358846,4
2.093458544435266,0.0,1.6721476674358846,12
2.146457494927298,0.0,1.6721476674358846,12
2.1994564454193304,0.0,1.6721476674358846,4
2.252455395911362,0.0,1.6721476674358846,4
2.305454346403394,0.0,1.6721476674358846,20
2.3584532968954264,0.0,1.6721476674358846,4
2.4114522473874582,0.0,1.6721476674358846,4
2.46445119787949,0.0,1.6721476674358846,0
2.5174501483715224,0.0,1.6721476674358846,0
2.5704490988635547,0.0,1.6721476674358846,0
2.6234480493555865,0.0,1.6721476674358846,0
2.6764469998476184,0.0,1.6721476674358846,0
2.7294459503396507,0.0,1.6721476674358846,0
2.782444900831683,0.0,1.6721476674358846,0
2.8354438513237143,0.0,1.6721476674358846,0
2.8884428018157466,0.0,1.6721476674358846,0
2.941441752307779,0.0,1.6721476674358846,0
2.994440702799811,0.0,1.6721476674358846,0
3.0474396532918426,0.0,1.6721476674358846,0
3.100438603783875,0.0,1.6721476674358846,0
3.153437554275907,0.0,1.6721476674358846,0
3.206436504767939,0.0,1.6721476674358846,0
3.259435455259971,0.0,1.6721476674358846,0
3.312434405752003,0.0,1.6721476674358846,0
3.3654333562440355,0.0,1.6721476674358846,0
